,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8846153846153846,0.8,0.8888888888888888,0.8421052631578948,0.9542483660130718
Random Forest,0.8076923076923077,0.7,0.7777777777777778,0.7368421052631577,0.8888888888888888
XGBoost,0.8846153846153846,0.8,0.8888888888888888,0.8421052631578948,0.9150326797385621
