Current Assets,Cash,Accounts Receivable,Inventory,Non-Current Assets,Total Assets,Current Liabilities,Long-Term Liabilities,Equity,Retained Earnings,Revenue,COGS,Gross Profit,Operating Income,EBIT,Pretax Income,Tax Expense,Net Income,Interest Expense,SGA Expense,Admin Expense,RD Expense,CFO,company,year,short_term_liabilities_to_assets,equity_to_assets,equity_to_short_term_liabilities,equity_to_long_term_liabilities,fixed_assets_to_total_liabilities,gross_profit_to_long_term_liabilities,current_assets_to_total_liabilities,quick_ratio,working_capital_to_total_assets,operating_income_to_assets,ebit_to_current_liabilities,net_operating_profit_margin,sales_to_current_assets,asset_turnover,operating_income_to_assets_trend_1yr,short_term_liabilities_to_assets_trend_1yr,asset_turnover_trend_1yr,gross_profit_to_long_term_liabilities_trend_1yr,bankruptcy_label,gdp_growth,inflation_rate,interest_rate,usdtry_avg,usdtry_change,unemployment_rate,industrial_prod_growth,credit_growth,m2_growth,gdp_growth_lag1,inflation_rate_lag1,interest_rate_lag1,usdtry_avg_lag1,usdtry_change_lag1,unemployment_rate_lag1,industrial_prod_growth_lag1,credit_growth_lag1,m2_growth_lag1,stl_ta_x_interest,oi_ta_x_unemployment,gp_ltl_x_inflation,margin_x_usdtry,fixed_assets_x_interest,quick_x_unemployment,turnover_x_gdp,equity_stl_x_interest,wc_ta_x_credit,cfo_x_interest,log_assets_x_gdp
341287000.0,59155000.0,77794000.0,158379000.0,124745000.0,466032000.0,266216000.0,11035000.0,188781000.0,93523000.0,385115000.0,-210841000.0,174274000.0,66571000.0,66182000.0,21357000.0,-7527000.0,13830000.0,-49319000.0,-72721000.0,-29799000.0,0.0,7683000.0,ADEL,2018,0.5712397431936005,0.405081625296117,0.7091271749256243,17.10747621205256,0.4499352572217954,15.792840960579973,1.2309676069698576,0.6870661417796076,0.1610855048580355,0.14284641398015588,0.2486026384589957,0.17286005478882932,1.128419775731276,0.8263702921687781,-0.022475344645242597,-0.06639626081577812,0.06731344843530868,-2.024287840680893,0,3.0,16.3,17.75,4.83,39.0,10.9,1.9,14,20,3.75,17.950000000000003,16.875,7.95,32.9,11.45,2.05,35.5,39.0,10.139505441686408,1.5570259123836991,257.42330765745356,6.741542136764344,7.986350815686868,7.489020945397723,2.4791108765063345,12.587007354929831,2.255197068012497,0.29262636471315273,59.87929457778051
261640000.0,13421000.0,82018000.0,137387000.0,127881000.0,389521000.0,166702000.0,59600000.0,163219000.0,85460000.0,347114000.0,-195290000.0,151824000.0,50880000.0,47959000.0,-17916000.0,3243000.0,-14673000.0,-69762000.0,-64314000.0,-32191000.0,-1492000.0,105210000.0,ADEL,2019,0.42796665648321913,0.41902490494735845,0.9791064294369594,2.7385738255033556,0.5650900124612244,2.5473825503355703,1.1561541656724201,0.7453599836834591,0.24373011981382262,0.13062196903376197,0.2876930090820746,0.1465800860812298,1.3266855220914233,0.8911303883487668,-0.012224444946393909,-0.14327308671038136,0.06476009617998868,-13.245458410244403,0,0.9,15.2,19.75,5.67,17.4,13.7,-0.6,8,25,3.0,16.3,17.75,4.83,39.0,10.9,1.9,14.0,20.0,8.452341465543578,1.789520975762539,38.720214765100664,2.5504934978133984,11.160527746109182,10.211431776463389,0.8020173495138901,19.337351981379946,1.949840958510581,5.334494160776954,17.802385503387928
513831000.0,279347000.0,59496000.0,139751000.0,120588000.0,634419000.0,409440000.0,79590000.0,145389000.0,55332000.0,391147000.0,-242358000.0,148789000.0,34800000.0,35022000.0,3725000.0,-1810000.0,1915000.0,-38827000.0,-74414000.0,-35070000.0,-2176000.0,90521000.0,ADEL,2020,0.6453778969419264,0.22916873548869124,0.35509232121922624,1.8267244628722201,0.24658609901233053,1.869443397411735,1.0507146800809766,0.9136381398983978,0.16454582854548808,0.05485333825121883,0.08553634232121923,0.08896910880052768,0.7612366712012315,0.6165436407169395,-0.07576863078254314,0.21741124045870724,-0.27458674763182733,-0.6779391529238352,0,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34,36,0.9,15.2,19.75,5.67,17.4,13.7,-0.6,8.0,25.0,6.6151234436547455,0.7240640649160885,22.994153788164343,2.0996709676924534,2.5275075148763877,12.060023446658851,1.171432917362185,3.639696292497069,5.594558170546595,1.4625038815041793,38.50961833705063
592411000.0,342560000.0,92569000.0,113968000.0,115846000.0,708257000.0,548312000.0,28680000.0,131265000.0,78436000.0,486155000.0,-332290000.0,153865000.0,37150000.0,37772000.0,-13776000.0,1078000.0,-12698000.0,-65465000.0,-73567000.0,-39383000.0,-1334000.0,41003000.0,ADEL,2021,0.7741709577173258,0.18533526671815456,0.23939837172996395,4.576882845188284,0.200775747324053,5.364888423988843,1.0267230741500748,0.8725743737142357,0.062264121639461385,0.05245271137454342,0.06888778651570639,0.07641595787351771,0.8206380367683922,0.6864104414075681,-0.002400626876675409,0.12879306077539943,0.06986680069062867,3.4954450265771078,0,11.4,19.6,16.0,8.89,26.8,12.0,17.0,37,42,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34.0,36.0,12.386735323477213,0.629432536494521,105.15181311018132,2.0479476710102746,3.212411957184848,10.470892484570829,7.825079032046277,3.830373947679423,2.303772500660071,0.9262852326203623,232.31282041361612
1156436000.0,481745000.0,92978000.0,493060000.0,749680000.0,1906116000.0,1001884000.0,211548000.0,692684000.0,127565000.0,1675122000.0,-1253242000.0,421880000.0,-7164000.0,-6465000.0,-11951000.0,-7476000.0,-19427000.0,-103816000.0,-282259000.0,-145648000.0,-10152000.0,104720000.0,ADEL,2022,0.5256154399837156,0.36340075840085284,0.6913814373719912,3.2743585380150133,0.6178178917318812,1.9942518955508914,0.9530290943373836,0.6621285498121539,0.08108215869338488,-0.0037584281334399373,-0.00645284284408175,-0.004276703428168217,1.4485211460037564,0.8788143009134806,-0.05621113950798336,-0.24855551773361018,0.19240385950591243,-3.3706365284379514,0,5.5,72.3,10.5,16.55,86.2,10.4,8.5,54,72,11.4,19.6,16.0,8.89,26.8,12.0,17.0,37.0,42.0,5.518962119829014,-0.03908765258777535,144.18441204832945,-0.3686518355081003,6.487087863184752,6.8861369180464,4.833478655024143,7.259505092405908,4.378436569442783,0.5768589110001701,117.52583425421967
2639716000.0,1146378000.0,171023000.0,888797000.0,1159167000.0,3798883000.0,2036566000.0,158510000.0,1603807000.0,123742000.0,3265499000.0,-1740926000.0,1524573000.0,556600000.0,555499000.0,637865000.0,-8422000.0,629443000.0,-232894000.0,-575010000.0,-410976000.0,-17878000.0,356774000.0,ADEL,2023,0.5360960050625407,0.42217857196444325,0.7875055362801893,10.118017790675667,0.5280760210580409,9.618150274430635,1.2025624625297713,0.8597408578951038,0.15877035433836736,0.14651675242433104,0.27276258171844175,0.17044868180942638,1.2370645175465846,0.859594517651636,0.15027518055777098,0.01048056507882511,-0.019219783261844592,7.623898378879743,0,4.5,53.9,25.0,23.75,43.5,9.4,1.6,60,70,5.5,72.3,10.5,16.55,86.2,10.4,8.5,54.0,72.0,13.402400126563519,1.377257472788712,518.4182997918111,7.414517658710047,13.201900526451022,8.081564064213977,3.8681753294323618,19.68763840700473,9.526221260302043,2.3478875237800163,99.260878108947
1792338000.0,659335000.0,131206000.0,789434000.0,1049595000.0,2841933000.0,826787000.0,566060000.0,1449086000.0,554502000.0,2711979000.0,-1324068000.0,1387911000.0,323385000.0,278327000.0,76277000.0,-57633000.0,18644000.0,-464202000.0,-581457000.0,-433542000.0,-18964000.0,372912000.0,ADEL,2024,0.29092417027424644,0.5098944978646576,1.7526714861264148,2.559951241917818,0.7535608720842992,2.451879659400064,1.2868161398918905,1.213013750820949,0.33975150012333155,0.11379050808023976,0.33663688471153996,0.11924317998037595,1.5130957442178874,0.9542726728603383,-0.032726244344091285,-0.2451718347882943,0.09467815520870237,-7.166270615030571,0,3.2,65.0,45.0,32.5,36.8,9.8,3.0,45,60,4.5,53.9,25.0,23.75,43.5,9.4,1.6,60.0,70.0,13.09158766234109,1.1151469791863498,159.37217786100416,4.388149023277835,33.91023924379346,11.887534758045302,3.053672553153083,78.87021687568867,15.28881750554992,5.9047978963613845,69.65680093246787
10368047000.0,4770052000.0,2413804000.0,1943100000.0,29328123000.0,39696170000.0,8075465000.0,10298431000.0,21322274000.0,4178878000.0,18689686000.0,-11957339000.0,6732347000.0,1362993000.0,1334698000.0,376058000.0,-277172000.0,98886000.0,-4052020000.0,-3957760000.0,-1557701000.0,0.0,2818246000.0,AEFES,2018,0.20343184241703924,0.5371368069010184,2.6403772414343942,2.070439079506383,1.5961842278850387,0.6537255043996508,0.564281358727621,1.043277012531167,0.0577532290898593,0.034335629860512994,0.16527816045267982,0.07292754945160662,1.8026235799278303,0.47081836862347176,0.007262094430947788,0.02277233148839619,0.029048583128417266,0.13028388609878783,0,3.0,16.3,17.75,4.83,39.0,10.9,1.9,14,20,3.75,17.950000000000003,16.875,7.95,32.9,11.45,2.05,35.5,39.0,3.6109152029024463,0.3742583654795916,10.655725721714308,2.844174428612658,28.332270044959436,11.371719436589721,1.4124551058704153,46.8666960354605,0.8085452072580301,1.2601685880527014,73.21356163930214
12683956000.0,5814721000.0,2727201000.0,2257493000.0,33214176000.0,45898132000.0,9696522000.0,11821310000.0,24380300000.0,4178878000.0,23076564000.0,-14320243000.0,8756321000.0,2246158000.0,2810013000.0,1957862000.0,-652273000.0,1308595000.0,-1948990000.0,-4908553000.0,-1770749000.0,0.0,4157115000.0,AEFES,2019,0.21126180037130923,0.5311828376806271,2.514334521181925,2.0624025594456112,1.5435651695765633,0.7407234054432208,0.5894625443678527,1.0752786411457633,0.06508835697278487,0.04893789577318746,0.28979597014269654,0.09733502786636693,1.8193506820742678,0.5027778472553088,0.014602265912674467,0.007829957954269995,0.03195947863183707,0.08699790104356997,0,0.9,15.2,19.75,5.67,17.4,13.7,-0.6,8,25,3.0,16.3,17.75,4.83,39.0,10.9,1.9,14.0,20.0,4.172420557333357,0.6704491720926682,11.258995762736955,1.6936294848747844,30.485412099137125,14.731317383696958,0.452500062529778,49.658106793343016,0.5207068557822789,1.788809645891471,22.094721230415303
15722558000.0,8524950000.0,2745025000.0,2708747000.0,34838810000.0,50561368000.0,12542103000.0,13004537000.0,25014728000.0,5213040000.0,26742693000.0,-16799303000.0,9943390000.0,2717199000.0,2784273000.0,2066950000.0,-610076000.0,1452910000.0,-2975745000.0,-5210101000.0,-2057227000.0,0.0,4972316000.0,AEFES,2020,0.2480570343745446,0.49473993662513244,1.9944604186395216,1.923538531206455,1.3637335477385675,0.7646093051986396,0.6154452405482678,1.0376099606262204,0.06290286686863378,0.05374061477134084,0.22199411055705728,0.10160528709655381,1.700912345179455,0.5289155348803063,0.004802718998153377,0.036795234003235366,0.026137687624997463,0.02388589975541877,0,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34,36,0.9,15.2,19.75,5.67,17.4,13.7,-0.6,8.0,25.0,2.5425846023390823,0.7093761149816991,9.404694453943268,2.39788477547867,13.978268864320317,13.696451480266107,1.0049395162725818,20.443219291055097,2.1386974735335484,1.008007516727,46.828261922423906
